Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_38_954.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_021.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_088.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_155.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_222.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_288.jpg;0;-0.09958874;0;0;99.66965;85.58866;359.9893;43.86748;-2.622186E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_354.jpg;0;-0.2978625;0;0;99.66876;85.58781;359.9636;43.85613;6.90131E-05
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_421.jpg;0;-0.5005591;0;-0.03344291;99.66597;85.58514;359.8847;43.77478;0.0002499627
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_489.jpg;0;-0.6989233;0;-0.05080356;99.66212;85.58146;359.7815;43.69975;-3.567199E-05
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_554.jpg;0;-0.8997816;0;-0.1081348;99.65513;85.57479;359.5959;43.74557;0.0003078064
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_623.jpg;0;-0.697612;0;-0.1424228;99.64364;85.5638;359.3445;43.67799;-0.0008157807
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_690.jpg;0;-0.496627;0;-0.1765931;99.6332;85.55376;359.1483;43.85085;0.0007394496
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_756.jpg;0;-0.4941511;0;-0.1910971;99.6226;85.5435;358.9915;43.91169;-0.0005679275
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_823.jpg;0;-0.694189;0;-0.2428476;99.60556;85.52698;358.775;44.08586;-0.001384844
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_891.jpg;0;-0.8943427;0;-0.2849882;99.59229;85.51423;358.7267;44.13097;-0.002121991
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_39_957.jpg;0;-1;0;-0.3338323;99.57851;85.50071;358.7891;43.96974;-0.002599681
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_024.jpg;0;-1;0;-0.3878312;99.55641;85.47903;358.8506;44.12137;0.0009956203
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_091.jpg;0;-1;0;-0.4477975;99.53672;85.45972;358.8356;44.21855;-0.001042673
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_157.jpg;0;-1;0;-0.5015488;99.51456;85.4381;358.7985;44.12283;-0.0009410653
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_224.jpg;0;-1;0;-0.5555957;99.48209;85.40639;358.7723;44.16713;-0.001119127
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_291.jpg;0;-1;0;-0.6087037;99.45509;85.38016;358.7695;44.02013;-0.002243514
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_359.jpg;0;-1;0;-0.6783369;99.41589;85.34226;358.7846;43.69601;-0.00262824
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_426.jpg;0;-1;0;-0.7230853;99.38386;85.31155;358.797;43.46725;-0.001995122
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_492.jpg;0;-1;0;-0.777471;99.34938;85.27876;358.8002;43.30587;-0.001707762
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_560.jpg;0;-1;0;-0.8360649;99.30039;85.23224;358.8029;43.24558;-0.001109961
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_626.jpg;0;-1;0;-0.8868698;99.2607;85.19457;358.7833;43.25042;-0.00100373
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_692.jpg;0;-1;0;-0.9498967;99.21918;85.1553;358.775;43.17968;-0.001391836
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_759.jpg;0;-1;0;-0.9958805;99.16039;85.09975;358.7667;43.13976;-0.0009387815
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_826.jpg;0;-1;0;-1.053093;99.11382;85.05575;358.7654;43.13154;-0.0009374475
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_893.jpg;0;-1;0;-1.117818;99.06534;85.00996;358.7732;43.12373;-0.0008916775
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_40_960.jpg;0;-1;0;-1.1589;98.99715;84.94559;358.7721;43.13166;-0.0007584851
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_028.jpg;0;-1;0;-1.214239;98.94348;84.89494;358.7662;43.12573;-0.0009567683
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_094.jpg;0;-1;0;-1.277602;98.88784;84.84242;358.7644;43.11773;-0.0009267733
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_161.jpg;0;-1;0;-1.32138;98.81032;84.76925;358.7604;43.10837;-0.0009583184
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_230.jpg;0;-1;0;-1.370303;98.74973;84.71207;358.7547;43.10511;-0.0009631774
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_295.jpg;0;-1;0;-1.432738;98.68713;84.65302;358.7512;43.09727;-0.0009921605
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_362.jpg;0;-1;0;-1.479712;98.60047;84.57127;358.7472;43.09006;-0.001002036
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_428.jpg;0;-1;0;-1.526312;98.53307;84.50771;358.7432;43.08515;-0.0009714013
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_495.jpg;0;-1;0;-1.588297;98.46366;84.44227;358.7405;43.07635;-0.001052851
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_562.jpg;0;-1;0;-1.634581;98.3679;84.35199;358.7332;43.0714;-0.001018427
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_630.jpg;0;-1;0;-1.68076;98.29374;84.2821;358.7288;43.06552;-0.001043942
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_696.jpg;0;-0.9035011;0;-1.742205;98.21761;84.21035;358.7263;43.05898;-0.001059741
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_762.jpg;2.994726;-0.7038527;0;-1.780754;98.1151;84.11112;358.7374;42.57242;359.9932
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_832.jpg;6.018331;-0.502279;0;-1.807533;98.03903;84.03416;358.7726;41.53748;359.9676
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_896.jpg;9.02789;-0.3016418;0;-1.824579;97.96391;83.95616;358.8438;39.91045;359.9184
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_41_964.jpg;12.03555;-0.1011313;0;-1.822638;97.8652;83.85285;359.0115;36.85138;359.8539
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_030.jpg;15;0;0;-1.81562;97.78582;83.78181;359.1268;35.09348;-0.0002383639
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_097.jpg;15;0;0;-1.807354;97.70547;83.71354;359.2746;33.45378;0.174182
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_163.jpg;15;0;0;-1.799924;97.59666;83.62698;359.5041;31.30908;0.4664239
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_230.jpg;15;0;0;-1.792023;97.51385;83.56535;359.6932;29.72109;0.7165446
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_297.jpg;15;0;0;-1.780882;97.43008;83.50644;359.8922;28.14854;0.9804645
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_364.jpg;15;0;0;-1.772719;97.3168;83.4304;0.123141;26.0961;1.228347
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_431.jpg;15;0;0;-1.759954;97.22772;83.37254;0.05626316;24.54883;1.167786
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_499.jpg;15;0;0;-1.74494;97.10609;83.30157;359.9502;22.38918;1.054949
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_564.jpg;15;0;0;-1.737732;97.01406;83.25309;359.9337;20.75459;1.009392
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_632.jpg;15;0;0;-1.730002;96.92157;83.20811;359.9609;19.15246;0.9965392
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_699.jpg;15;0;0;-1.723299;96.79724;83.15265;0.01357783;17.03415;1.03316
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_765.jpg;15;0;0;-1.716351;96.70286;83.11379;0.02420838;15.45757;1.068416
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_831.jpg;15;0;0;-1.708416;96.60732;83.07718;359.9935;13.87483;1.084037
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_898.jpg;15;0;0;-1.697685;96.51166;83.04342;359.9874;12.28902;1.089003
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_42_964.jpg;15;0;0;-1.69112;96.38346;83.00302;359.9919;10.19247;1.089726
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_032.jpg;15;0;0;-1.681197;96.28676;82.97598;359.9882;8.623688;1.095182
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_099.jpg;15;0;0;-1.674272;96.15749;82.9441;359.9883;6.534996;1.094585
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_165.jpg;15;0;0;-1.666914;96.06037;82.92334;359.991;4.969627;1.090364
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_231.jpg;11.96015;0;0;-1.658262;95.96286;82.90625;359.991;3.55529;1.111088
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_299.jpg;8.969932;0;0.1016173;-1.652748;95.83282;82.88924;-0.004015618;2.091347;1.140411
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_366.jpg;5.946734;0;0.3031638;-1.621263;95.73782;82.88029;0.01609566;1.30529;1.136824
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_433.jpg;2.94413;0;0.5033374;-1.518834;95.64862;82.87435;0.1218041;0.7614594;1.110289
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_500.jpg;0;0;0.7073978;-1.416679;95.54295;82.8698;0.4008313;0.4820633;0.9496887
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_567.jpg;0;0;0.9051808;-1.266911;95.47365;82.86695;0.6400698;0.2459106;0.6532019
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_633.jpg;0;0;1;-1.052272;95.41642;82.86561;1.013214;0.0887146;0.2890745
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_700.jpg;0;0;1;-0.8852708;95.3607;82.86662;1.67699;0.08430481;359.8697
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_768.jpg;0;0;1;-0.7340555;95.32537;82.87103;1.951733;0.02365875;359.8627
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_834.jpg;0;0;1;-0.4788;95.30037;82.87581;2.181105;359.6203;-0.0009102485
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_901.jpg;0;0;1;-0.2953324;95.28665;82.87928;2.356667;358.9446;359.9632
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_43_967.jpg;0;0;1;-0.04350157;95.2865;82.87969;2.33725;358.9185;359.9195
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_034.jpg;0;0;1;0.09439126;95.28639;82.8801;2.016937;358.8762;0.01187791
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_102.jpg;0;0;1;0.1845976;95.28637;82.87982;1.119014;358.8891;0.003524462
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_168.jpg;0;0;1;0.2273597;95.28661;82.87983;0.3655955;358.8896;359.951
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_235.jpg;0;0;1;0.210392;95.28687;82.87984;359.6594;358.8888;359.9043
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_302.jpg;0;0;1;0.1772153;95.28721;82.87995;358.8884;358.8856;359.9428
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_368.jpg;0;0;1;0.1465729;95.28743;82.87988;358.4861;358.8875;0.01302566
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_436.jpg;0;0;1;0.05322769;95.28757;82.87881;358.3542;358.8825;359.9927
